,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
0,0.0,-513.567,-345.685,-12.6998,213.9447313271397,-1.1752167812558485,0.1480256680712313
1,0.0,-515.539,-347.278,-12.6821,213.96504347516483,-1.1688125056270129,0.14865096821758414
2,0.0,-516.633,-347.942,-12.2346,213.95947867234216,-1.1252671729795676,0.14896537480626948
3,0.0,-516.561,-347.638,-11.9025,213.93997708561608,-1.0951334940150483,0.1489069311279087
4,0.0,-515.96,-347.094,-12.2151,213.9293109255157,-1.1253378310517503,0.1487097016239684
5,1.0,-513.567,-345.685,-12.6998,213.9447313271397,-1.1752167812558485,0.1480256680712313
6,1.0,-512.6,-344.871,-13.098,213.93218280927354,-1.2145194159065307,0.1477165948849688
7,2.0,-974.909,-646.224,-28.8319,213.53863504536315,-1.4120708578944363,0.28940401004770966
8,2.0,-975.267,-648.393,-32.91,213.6174062084488,-1.6096407534431456,0.2898316750085334
9,2.0,-975.24,-650.521,-36.1038,213.70474810838655,-1.764014549523208,0.29016498496430104
10,2.0,-975.634,-649.753,-38.9117,213.66283229162184,-1.901269133543039,0.290162787340435
11,2.0,-977.297,-645.394,-41.5409,213.44024431965514,-2.031402514386635,0.28991426310358204
12,2.0,-978.949,-641.104,-43.4852,213.220391865584,-2.1281694929882224,0.2896728852207869
13,2.0,-979.524,-639.212,-45.0692,213.1274261215015,-2.206659003013146,0.28954132994543913
14,2.0,-979.654,-638.61,-46.5005,213.09924445308152,-2.277092917374761,0.2894976774145731
15,3.0,-974.909,-646.224,-28.8319,213.53863504536315,-1.4120708578944363,0.28940401004770966
16,3.0,-975.813,-647.19,-25.5797,213.55359429745909,-1.2514682635513925,0.2897267896777689
17,3.0,-976.34,-648.001,-23.1767,213.57239836830985,-1.1330769280652393,0.2899499387705922
18,3.0,-976.448,-648.523,-22.1205,213.5907378957467,-1.0811040140829635,0.2900454183573992
19,4.0,-964.299,-621.604,-6.59485,212.80653606274228,-0.32934513598888854,0.28336848449612373
20,4.0,-964.606,-619.99,-9.18708,212.73044071421504,-0.4590419197176823,0.2832097851375585
21,4.0,-966.155,-619.533,-9.23694,212.6694389225741,-0.4611082436210101,0.28349049698403117
22,4.0,-968.585,-619.316,-7.27064,212.5949638346659,-0.36234437675644865,0.28399925279958954
23,4.0,-970.776,-618.661,-4.93341,212.50875155340557,-0.2455472511576511,0.2843930096167859
24,5.0,-964.299,-621.604,-6.59485,212.80653606274228,-0.32934513598888854,0.28336848449612373
25,5.0,-962.415,-624.135,-3.155,212.96378062919706,-0.1575897925008103,0.28330939264306626
26,5.0,-960.29,-625.702,-1.50943,213.08730381151992,-0.07545601943996201,0.28306216952450947
27,6.0,-527.559,-342.582,-13.8471,212.9985622886402,-1.2610687599096768,0.15049933475031566
28,6.0,-526.851,-346.027,-16.4653,213.29624524314983,-1.4963410999429596,0.1508349736547644
29,6.0,-524.185,-348.835,-17.4832,213.64299879721773,-1.5905034348172422,0.15067436684170138
30,6.0,-521.191,-349.331,-15.7208,213.83217741270929,-1.4352879570529324,0.150114015773291
31,6.0,-518.656,-348.361,-13.3306,213.88771732974863,-1.2222895579180175,0.14944473369783964
32,6.0,-516.764,-347.507,-12.3266,213.9195499172076,-1.1339708255254817,0.14893258533000442
33,6.0,-515.96,-347.094,-12.2151,213.9293109255157,-1.1253378310517503,0.1487097016239684
34,7.0,-527.559,-342.582,-13.8471,212.9985622886402,-1.2610687599096768,0.15049933475031566
35,7.0,-523.922,-345.05,-16.783,213.36851665190824,-1.5324510618659237,0.15009744227325436
36,7.0,-522.171,-347.104,-17.8007,213.61327516284777,-1.6261754281874279,0.15002339338942752
37,7.0,-520.908,-348.288,-15.9309,213.76736466669,-1.4563534144345132,0.14991326957004542
38,7.0,-518.719,-348.2,-13.4088,213.87223871636573,-1.2295312321319827,0.14943587059925828
39,7.0,-516.764,-347.507,-12.3266,213.9195499172076,-1.1339708255254817,0.14893258533000442
40,7.0,-515.96,-347.094,-12.2151,213.9293109255157,-1.1253378310517503,0.1487097016239684
41,8.0,-486.086,-314.935,-11.8076,212.9391921824016,-1.167888480232311,0.1381713422622983
