,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
0,0.0,-287.457,-938.21,647.392,252.9655242215892,33.41508751997091,0.29089289245309846
1,0.0,-283.173,-930.849,643.136,253.07974696456768,33.46487256780184,0.28842421049761846
2,0.0,-278.257,-928.48,638.347,253.31700535630952,33.3680654719724,0.2869025034523365
3,0.0,-274.609,-929.36,635.54,253.5385470511377,33.25752233304506,0.2864485329384487
4,0.0,-273.48,-930.345,635.214,253.61901238707844,33.227090210185025,0.2865401989864078
5,1.0,-287.457,-938.21,647.392,252.9655242215892,33.41508751997091,0.29089289245309846
6,1.0,-289.722,-944.86,646.837,252.95291268300875,33.20503568593583,0.292377022454602
7,1.0,-290.745,-947.812,646.356,252.94640219394256,33.10277424331323,0.2930045102896893
8,2.0,-269.953,-835.915,595.887,252.10249442877767,34.151371324204064,0.2607091015484983
9,2.0,-269.392,-837.478,594.881,252.16854645096248,34.066611437790186,0.26084688660868116
10,2.0,-271.517,-838.103,595.303,252.0494310524835,34.0477904964266,0.26118015770546343
11,2.0,-274.176,-838.493,595.872,251.89294732687577,34.03719143016782,0.2615234114521217
12,2.0,-275.358,-839.644,594.452,251.84329631837446,33.92986831754949,0.2616332256395987
13,2.0,-276.058,-840.502,591.467,251.81753433662465,33.76546202011286,0.2614221023071937
14,2.0,-276.929,-840.227,588.651,251.75838409547427,33.6389085884339,0.26101440112090457
15,3.0,-269.953,-835.915,595.887,252.10249442877767,34.151371324204064,0.2607091015484983
16,3.0,-272.94,-836.679,596.545,251.93272625331556,34.13083406926172,0.26116413022751156
17,3.0,-274.65,-838.019,596.286,251.85410538147775,34.064784375340615,0.261518360047287
18,3.0,-275.358,-839.644,594.452,251.84329631837446,33.92986831754949,0.2616332256395987
19,3.0,-276.058,-840.502,591.467,251.81753433662465,33.76546202011286,0.2614221023071937
20,3.0,-276.929,-840.227,588.651,251.75838409547427,33.6389085884339,0.26101440112090457
21,4.0,-257.048,-864.872,612.354,253.44756127275969,34.16424176565679,0.26832643490900693
22,4.0,-256.82,-858.831,609.557,253.35152673004725,34.21568461720483,0.266637309042379
23,4.0,-256.689,-854.783,607.63,253.28513114897814,34.247953748271144,0.26550028413227894
24,4.0,-256.423,-852.821,606.781,253.26521659263736,34.269154756368636,0.2649494665637921
