,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
0,0.0,-725.977,-32.2847,1.08495,182.54630532163992,0.08554214900945499,0.174823767321269
1,0.0,-716.39,-33.5366,4.00122,182.68024934743957,0.31965808073004387,0.17243849628573063
2,0.0,-712.73,-33.3658,5.98721,182.68029240440245,0.48076907157081894,0.17152372719785128
3,0.0,-714.086,-35.7164,6.39262,182.86337366614902,0.5122675817847875,0.1718924758304462
4,0.0,-715.215,-40.4553,6.26569,183.2374190274273,0.5011297679177056,0.17223794549933238
5,0.0,-712.429,-44.5526,5.35843,183.5784002124516,0.4300935100838076,0.17160018631111776
6,0.0,-708.943,-48.1589,4.6352,183.8861644813729,0.3737437141970277,0.17078627989401757
7,0.0,-708.898,-51.9002,5.37549,184.18729693623257,0.4332991566758488,0.17084230855088675
8,0.0,-710.301,-54.4908,5.97931,184.38685808016402,0.48089124276138334,0.17124248575120282
9,0.0,-710.905,-55.3002,5.88635,184.4479928025231,0.4729740049537787,0.1714087787710476
10,0.0,-711.244,-55.3568,5.76976,184.45041336679776,0.4633838148847408,0.17149432012800853
11,1.0,-725.977,-32.2847,1.08495,182.54630532163992,0.08554214900945499,0.174823767321269
12,1.0,-733.064,-27.0476,2.00186,182.1130633334078,0.15635722313443007,0.1765487964833396
13,1.0,-735.161,-24.6735,2.69223,181.92224149121893,0.2097036228733237,0.17705484842528266
14,1.0,-734.768,-24.0005,3.06953,181.8708471374032,0.23922700180284057,0.1769509360620768
15,2.0,-1031.57,-59.9966,16.8114,183.32859991252835,0.9320864722934857,0.2533723051969471
16,2.0,-1028.21,-58.5411,22.8146,183.25861518783856,1.269053339697929,0.2525041876344732
17,2.0,-1026.84,-56.1436,27.8047,183.12959327461687,1.5487598672597012,0.2521441341076654
18,2.0,-1026.61,-53.021,29.6897,182.9565100483738,1.6543362893945739,0.25205464747127987
19,2.0,-1025.26,-48.8914,28.8949,182.73018587684152,1.6125080483922463,0.25164326163254674
20,2.0,-1024.35,-44.4749,26.8594,182.48608840549878,1.500590855041552,0.2513390868796895
21,2.0,-1025.87,-41.9013,25.246,182.33892591235883,1.4085537210353207,0.25169653310951384
22,2.0,-1028.29,-41.391,25.1082,182.3050404400442,1.3976064746966719,0.25232161012525134
23,2.0,-1030.15,-41.547,25.5752,182.30954552931138,1.4210168319193213,0.2528116531778428
24,3.0,-1031.57,-59.9966,16.8114,183.32859991252835,0.9320864722934857,0.2533723051969471
25,3.0,-1030.95,-62.4487,15.1624,183.4663954246842,0.8410590428734247,0.2532418717406232
26,3.0,-1028.97,-65.1042,13.6582,183.62034867526376,0.7589626881760775,0.2527628902285811
27,3.0,-1025.96,-66.4136,13.2403,183.70376740221872,0.7378328608627743,0.2519986646534632
28,3.0,-1023.46,-66.0235,13.7005,183.69104159284043,0.7653508155628008,0.2513422466158633
29,3.0,-1022.2,-65.0898,14.1427,183.64345785214186,0.7910661665537969,0.2509999822976784
30,4.0,-1110.23,-65.4282,11.1839,183.37266056169634,0.57614986720892,0.27407185770839876
31,4.0,-1112.28,-69.503,9.07377,183.57559035655478,0.4664879694757134,0.2746728544352169
32,4.0,-1113.71,-71.7256,6.71711,183.68489691425333,0.34484897310421464,0.27508294023977264
33,4.0,-1114.08,-71.9818,3.61181,183.69679795626732,0.18536384272444614,0.2751811316433931
34,4.0,-1113.14,-73.1734,0.732513,183.76098572585283,0.037622859167330665,0.2749521266370559
35,4.0,-1112.51,-76.4851,-0.922886,183.9328981944461,-0.04741794457343312,0.2748447189154525
36,4.0,-1113.22,-79.2468,-1.65451,184.07184618202248,-0.0849401602684747,0.2750831675323519
37,4.0,-1114.07,-80.1833,-1.83142,184.11666808338515,-0.0939454525740328,0.275325105667673
38,5.0,-1110.23,-65.4282,11.1839,183.37266056169634,0.57614986720892,0.27407185770839876
39,5.0,-1109.04,-60.7008,13.6126,183.13282929246964,0.7021747889722375,0.27369422723085113
40,5.0,-1108.51,-57.2818,15.5302,182.95810482677786,0.8015906853930632,0.27351307408171205
41,6.0,-1159.05,-53.9726,-28.8933,182.66612302276494,-1.4264531439385328,0.28692036354498535
42,6.0,-1162.7,-52.5935,-27.0463,182.58994827613589,-1.331192350510172,0.28786188201288226
43,6.0,-1164.44,-52.0455,-26.3398,182.5591736417202,-1.2945258218841693,0.28831371799571814
44,6.0,-1166.12,-52.0815,-26.7845,182.5572568893571,-1.314480091104449,0.2887637011300065
45,6.0,-1168.83,-52.4725,-28.5366,182.57046405071637,-1.397173106031749,0.2895004395594576
46,6.0,-1171.16,-52.8238,-30.9065,182.58250872560515,-1.5101300182996802,0.2901408020858761
47,6.0,-1172.33,-52.7716,-32.6723,182.57738880519776,-1.5947798110673514,0.2904643900958269
48,7.0,-1159.05,-53.9726,-28.8933,182.66612302276494,-1.4264531439385328,0.28692036354498535
49,7.0,-1152.74,-54.1668,-30.1115,182.6903272461835,-1.4946729997626538,0.2852551361143974
