,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
0,0.0,-923.258,-698.64,-37.7874,217.11521398515436,-1.8693111124917472,0.2863222464393474
1,0.0,-917.002,-695.433,-38.994,217.17583429297844,-1.9405511695434097,0.28449322890872597
2,0.0,-911.293,-692.566,-39.9864,217.23416921744624,-2.000809313371744,0.2828349775407114
3,0.0,-907.703,-690.443,-40.3057,217.2583820373055,-2.0240929402889165,0.2817390356764482
4,0.0,-906.088,-688.608,-39.6166,217.2340772154115,-1.9937010291858932,0.2810972867768298
5,0.0,-905.665,-686.731,-37.9105,217.1716456465544,-1.910375437578595,0.2806917264829228
6,0.0,-905.863,-685.033,-35.8567,217.09735214479036,-1.8083303254561796,0.28044420638894796
7,1.0,-923.258,-698.64,-37.7874,217.11521398515436,-1.8693111124917472,0.2863222464393474
8,1.0,-924.587,-699.376,-37.8406,217.10458611602624,-1.8695143422562444,0.28672258498316927
9,1.0,-925.765,-699.907,-37.8619,217.0904092119463,-1.8685367382995157,0.287057825022129
10,2.0,-856.059,-632.419,-17.8158,216.45536993378653,-0.9589866167677186,0.26149897132509287
11,2.0,-855.337,-630.759,-16.7503,216.40651672605438,-0.9029717511376457,0.261083271127171
12,2.0,-854.864,-632.733,-18.5375,216.50722835241524,-0.9985526519208539,0.26129903517841035
13,2.0,-853.584,-637.314,-20.7281,216.74623319226544,-1.1147371825944092,0.2617573369179721
14,2.0,-852.166,-641.209,-21.467,216.9594898718147,-1.1531637281803748,0.26207655625944826
15,2.0,-851.948,-642.626,-22.1896,217.027320052788,-1.1912116411394724,0.26225857684157033
16,2.0,-852.531,-642.892,-23.741,217.01987642195266,-1.273722890532365,0.2624316019482453
17,2.0,-853.502,-643.466,-25.2135,217.01310447350033,-1.3512771799074106,0.26273478409214934
18,2.0,-855.087,-644.128,-26.5136,216.99032845873728,-1.4187180899408072,0.2631801085743566
19,2.0,-856.617,-644.49,-27.9548,216.95657982791377,-1.4937927480633446,0.26356800407229036
20,2.0,-857.341,-644.494,-29.0833,216.93349850914456,-1.5532248196329752,0.26372852962693155
21,3.0,-856.059,-632.419,-17.8158,216.45536993378653,-0.9589866167677186,0.26149897132509287
22,3.0,-856.019,-633.035,-18.8192,216.483312766511,-1.0126688470383456,0.26159116204495886
23,3.0,-855.205,-633.871,-19.5719,216.54554209448503,-1.0533180660312964,0.26155357630210063
24,3.0,-853.584,-637.314,-20.7281,216.74623319226544,-1.1147371825944092,0.2617573369179721
25,3.0,-852.166,-641.209,-21.467,216.9594898718147,-1.1531637281803748,0.26207655625944826
26,3.0,-851.948,-642.626,-22.1896,217.027320052788,-1.1912116411394724,0.26225857684157033
27,3.0,-852.531,-642.892,-23.741,217.01987642195266,-1.273722890532365,0.2624316019482453
28,3.0,-853.502,-643.466,-25.2135,217.01310447350033,-1.3512771799074106,0.26273478409214934
29,3.0,-855.087,-644.128,-26.5136,216.99032845873728,-1.4187180899408072,0.2631801085743566
30,3.0,-856.617,-644.49,-27.9548,216.95657982791377,-1.4937927480633446,0.26356800407229036
31,3.0,-857.341,-644.494,-29.0833,216.93349850914456,-1.5532248196329752,0.26372852962693155
32,4.0,-842.118,-602.931,3.25173,215.60151708495417,0.17988662241505357,0.25396359182265205
33,4.0,-839.516,-601.208,-3.89822,215.60783123112532,-0.21630163438098593,0.25314896619087224
34,4.0,-838.33,-601.088,-9.606,215.64076650064607,-0.5335321927734255,0.2528885387894884
35,4.0,-837.622,-601.44,-13.3206,215.67958388961173,-0.7400925771905542,0.2528026413805129
36,4.0,-836.777,-601.323,-14.7472,215.70170361232388,-0.8199440917941874,0.25261058640916095
37,5.0,-842.118,-602.931,3.25173,215.60151708495417,0.17988662241505357,0.25396359182265205
38,5.0,-847.538,-605.473,9.39556,215.54164879184262,0.5168148970989068,0.25551322518365144
39,5.0,-851.329,-606.851,11.2435,215.48232866568148,0.6161572058794414,0.25653515573798613
40,5.0,-853.298,-607.488,10.4957,215.44818466525848,0.5740962269672404,0.2570497853880391
41,6.0,-918.626,-683.781,11.07,216.66222332262532,0.5538397708260672,0.2828177326155557
42,6.0,-917.956,-682.52,14.0323,216.63159503423947,0.7028241917816438,0.2824838442712434
43,6.0,-917.625,-678.285,16.7123,216.47086708755583,0.8390823888276934,0.2817535299418192
44,6.0,-917.138,-672.161,17.3924,216.23730524435558,0.8763118260459604,0.28068930853812896
45,6.0,-917.351,-665.739,15.1458,215.96910307021568,0.7655634053778424,0.27972320755973323
46,6.0,-919.75,-659.836,11.845,215.6559593224807,0.5995320881414968,0.27931297623242135
47,6.0,-923.284,-655.852,8.43621,215.38796716625995,0.42679289231814926,0.27945369441196494
48,6.0,-924.932,-653.866,5.25488,215.25779440894578,0.26580443934263415,0.2795006352175672
49,6.0,-923.031,-653.035,3.3368,215.27901655491806,0.169087387423109,0.2789602646052263
50,6.0,-919.273,-653.486,2.22367,215.40797867543927,0.11296154390195243,0.27821662052390567
51,6.0,-916.715,-654.805,1.37156,215.53803252689633,0.06975625403717957,0.27786728300462993
52,6.0,-916.076,-655.854,0.955689,215.60033078769723,0.048601557014749504,0.27789111386122367
53,7.0,-918.626,-683.781,11.07,216.66222332262532,0.5538397708260672,0.2828177326155557
54,7.0,-920.831,-683.711,6.1359,216.59364503256612,0.3065274821132123,0.2832666799421881
55,7.0,-921.633,-683.567,2.56524,216.56399925423094,0.12808882422469173,0.28341133341766744
56,7.0,-920.301,-683.379,-0.144378,216.59611397628998,-0.007216596926745209,0.28309676410336215
57,7.0,-918.539,-683.559,-2.63145,216.65591142721533,-0.13168040188630775,0.2827506092423389
58,7.0,-918.7,-684.859,-4.73511,216.70325227104775,-0.23676145485755595,0.28299286597967466
59,7.0,-920.686,-687.169,-6.32512,216.7364197155828,-0.315444116139329,0.2837844972954386
60,7.0,-922.565,-689.046,-7.1801,216.75534401603048,-0.3572649246450579,0.2844842116770033
61,7.0,-923.467,-689.799,-7.38557,216.75850273331844,-0.3671143003780959,0.28479636601668473
62,8.0,-812.698,-587.355,-22.1022,215.85648032302296,-1.2627127582084352,0.24542286512688338
63,8.0,-806.661,-586.251,-24.3766,216.00824983951966,-1.4003300976743716,0.24399662176427675
64,8.0,-802.724,-585.434,-25.6799,216.10361543776088,-1.4806041598282655,0.24305281186128075
65,8.0,-801.327,-584.999,-25.9976,216.1308569751259,-1.5010045703447472,0.242695100207143
66,9.0,-812.698,-587.355,-22.1022,215.85648032302296,-1.2627127582084352,0.24542286512688338
67,9.0,-815.318,-587.883,-20.8426,215.7933940575232,-1.1878904772037764,0.24604916620396314
68,10.0,-930.992,-695.799,3.01731,216.77347413869353,0.14874172875422367,0.287349590818555
