,id_fila,x_fila,y_fila,z_fila,ra_fila,dec_fila,redshift_fila
0,0.0,-674.788,-539.817,585.583,218.6591144762261,34.123404572949376,0.25609577526492344
1,0.0,-676.995,-546.446,590.154,218.90922020622529,34.150085445936035,0.25804051366450176
2,0.0,-678.722,-549.41,593.243,218.98938152248962,34.191140102230335,0.25919054968222227
3,0.0,-679.518,-549.734,594.791,218.97305950921583,34.235481781809824,0.2595971384098518
4,0.0,-679.3,-549.957,596.532,218.9934130530807,34.314304121490096,0.25984794611915135
5,0.0,-676.845,-550.818,599.624,219.13877468922635,34.49409726589163,0.2600111081408695
6,0.0,-673.138,-551.317,602.287,219.31834114828575,34.691306453374054,0.2598557813041108
7,0.0,-670.838,-550.944,603.207,219.395483944553,34.79446644051828,0.25955907126685285
8,1.0,-674.788,-539.817,585.583,218.6591144762261,34.123404572949376,0.25609577526492344
9,1.0,-675.616,-534.319,582.258,218.33913177372375,34.05749023984662,0.25500684650320615
10,1.0,-678.736,-531.801,580.448,218.07929271767614,33.94723140336568,0.2549359587151575
11,1.0,-683.017,-530.909,579.487,217.8579172221259,33.816521566677885,0.2554096215461836
12,2.0,-717.857,-567.302,595.045,218.31831593876987,33.03802085749035,0.2685889719910328
13,2.0,-722.902,-564.106,594.918,217.9661757824175,32.97545733064426,0.26901137404317427
14,2.0,-727.218,-563.482,595.645,217.77017337607165,32.92129221801014,0.26978456164567877
15,2.0,-729.62,-564.644,597.631,217.73584986734457,32.93423208564902,0.2706471300337675
16,2.0,-730.92,-565.174,601.185,217.71250324350075,33.05105301776865,0.271457033205482
17,2.0,-731.912,-564.622,605.056,217.64782535946446,33.206658614105145,0.272114382602321
18,2.0,-731.987,-564.722,606.962,217.64989328967596,33.285860002746176,0.27241685576190705
19,2.0,-730.795,-566.851,606.878,217.79942687673162,33.27199414336895,0.27248411575879644
20,2.0,-729.249,-569.622,606.567,217.99366866082943,33.24483380813585,0.2725455186148903
21,2.0,-728.177,-571.973,606.494,218.14914632387536,33.22448266331408,0.2726687557604121
22,2.0,-727.403,-574.226,606.307,218.28824516423865,33.19411532410432,0.2728153182023995
23,3.0,-717.857,-567.302,595.045,218.31831593876987,33.03802085749035,0.2685889719910328
24,3.0,-718.065,-568.023,595.371,218.3456452775179,33.03490117472096,0.2687706272304271
25,4.0,-691.592,-529.055,616.786,217.41531548458164,35.311544091951035,0.2621783255463495
26,4.0,-696.972,-536.099,614.984,217.5668717600782,34.96894776769481,0.26374389894494193
27,4.0,-701.677,-541.229,613.624,217.64430914085622,34.700776377876814,0.26501953147004803
28,4.0,-702.413,-545.049,612.263,217.8102670176333,34.55317019687525,0.2654480163977437
29,4.0,-700.782,-547.639,611.064,218.00650281392188,34.49156844494572,0.26533525883124576
30,4.0,-699.685,-548.947,610.424,218.11642046695212,34.46527392434252,0.26522753111312714
31,5.0,-691.592,-529.055,616.786,217.41531548458164,35.311544091951035,0.2621783255463495
32,5.0,-700.646,-530.047,619.564,217.10793712247423,35.191870283047564,0.26427457038597135
33,5.0,-706.809,-534.861,618.453,217.11575316286326,34.90484153116751,0.26579032413275977
34,5.0,-710.326,-538.97,614.709,217.18992819248842,34.582417290092074,0.26637155207187324
35,5.0,-712.776,-540.051,612.243,217.15021981737564,34.39690107135224,0.2665692240071757
36,5.0,-714.096,-540.049,611.682,217.0991035524142,34.341059939580624,0.2667142665834977
37,6.0,-727.669,-525.647,612.251,215.84325563030572,34.29580724557319,0.2673106054941098
38,6.0,-727.455,-525.924,606.421,215.86558619410093,34.0414004017204,0.26644619765971034
39,6.0,-727.175,-526.714,602.803,215.91690709082064,33.87556007937124,0.2659659376271869
40,6.0,-727.263,-528.277,601.671,215.99430184360827,33.79657737288413,0.26601623265074953
41,6.0,-727.547,-530.044,601.311,216.07467618286591,33.74337820232559,0.26624119568613225
42,6.0,-727.848,-531.251,600.877,216.12543632930445,33.69624262932945,0.2663866985710536
43,7.0,-727.669,-525.647,612.251,215.84325563030572,34.29580724557319,0.2673106054941098
44,7.0,-727.223,-526.548,616.054,215.9065309672915,34.456188614932174,0.26791230768152124
45,7.0,-727.546,-527.248,618.701,215.9306067757896,34.5508454801777,0.26845324185281316
46,8.0,-738.117,-555.996,605.266,216.98935110333204,33.224145747313536,0.27207964446434296
47,8.0,-735.409,-559.84,604.666,217.28069280916134,33.193510709382785,0.2720286194227862
48,8.0,-733.192,-562.792,605.694,217.5095403514973,33.237221113465786,0.27218422245906027
49,8.0,-732.057,-564.498,606.915,217.6362507833701,33.28613834058071,0.272392084432826
50,8.0,-730.795,-566.851,606.878,217.79942687673162,33.27199414336895,0.27248411575879644
51,8.0,-729.249,-569.622,606.567,217.99366866082943,33.24483380813585,0.2725455186148903
52,8.0,-728.177,-571.973,606.494,218.14914632387536,33.22448266331408,0.2726687557604121
53,8.0,-727.403,-574.226,606.307,218.28824516423865,33.19411532410432,0.2728153182023995
54,9.0,-738.117,-555.996,605.266,216.98935110333204,33.224145747313536,0.27207964446434296
55,9.0,-737.248,-555.888,606.875,217.0164424802898,33.31550663321202,0.2721451340781662
56,10.0,-334.443,-260.495,288.767,217.9147419881299,34.26189814862962,0.12187629063651602
57,10.0,-335.126,-264.023,288.581,218.23217251502507,34.07487765473045,0.12239970433141333
58,10.0,-335.449,-267.403,289.354,218.56008306081236,33.99983317051519,0.12298235299717028
59,10.0,-334.851,-270.428,291.735,218.9245842304862,34.12943476604502,0.12359781968859947
60,10.0,-333.859,-272.977,294.487,219.27086055243726,34.32781156326203,0.1241461650177504
61,11.0,-334.443,-260.495,288.767,217.9147419881299,34.26189814862962,0.12187629063651602
62,11.0,-336.554,-258.236,289.425,217.4988248310466,34.304453090741916,0.12202519452232237
63,11.0,-338.333,-256.518,290.638,217.16875044009944,34.39264668607868,0.1222677797748109
64,12.0,-696.656,-564.743,597.138,219.029894450738,33.657595798326795,0.2649004640482552
65,12.0,-693.969,-564.338,597.393,219.11812893951338,33.73802295030704,0.2644254823637931
66,12.0,-691.342,-563.836,597.24,219.1995631792982,33.8010068744585,0.2638887403883665
67,13.0,-696.656,-564.743,597.138,219.029894450738,33.657595798326795,0.2649004640482552
68,13.0,-696.775,-564.55,596.323,219.01552779720114,33.62236181493304,0.2647753745520218
69,14.0,-662.933,-493.336,544.455,216.6555806407852,33.37946068380577,0.24194351115227586
70,14.0,-664.526,-491.101,545.684,216.4653092602319,33.44049047881803,0.24210810365734375
71,14.0,-666.164,-490.227,546.71,216.34917943371593,33.46450443994052,0.24242841310781507
72,14.0,-666.781,-491.611,546.623,216.40098252545363,33.4183725967097,0.24270168705309722
